IATA,City,AirportName
ABE,Allentown,Lehigh Valley International Airport
ABQ,Albuquerque,Albuquerque International Sunport
ABR,Aberdeen,Aberdeen Regional Airport
ABY,Albany,Southwest Georgia Regional Airport
AEX,Alexandria,Alexandria International Airport
AGS,Augusta,Augusta Regional Airport
ALB,Albany,Albany International Airport
APN,Alpena,Alpena County Regional Airport
ASE,Aspen,Aspen-Pitkin County Airport
ATL,Atlanta,Hartsfield-Jackson Atlanta International Airport
ATW,Appleton/Fox Cities,Appleton International Airport
AUS,Austin,Austin-Bergstrom International Airport
AVL,Asheville,Asheville Regional Airport
AVP,Wilkes-Barre/Scranton,Scranton International Airport
AZO,Kalamazoo,Kalamazoo-Battle Creek International Airport
BDL,Hartford/Springfield,Bradley International Airport
BGM,Binghamton,Binghamton Airport
BGR,Bangor,Bangor International Airport
BIL,Billings,Billings Logan International Airport
BIS,Bismarck,Bismarck Municipal Airport
BJI,Bemidji,Bemidji Airport
BMI,Bloomington,Central Illinois Regional Airport
BNA,Nashville,Nashville International Airport
BOI,Boise,Boise Airport
BOS,Boston,Logan International Airport
BQK,Brunswick,Brunswick Golden Isles Airport
BRD,Brainerd,Brainerd Lakes Regional Airport
BTM,Butte,Bert Mooney Airport
BTR,Baton Rouge,Baton Rouge Metropolitan Airport
BTV,Burlington,Burlington International Airport
BUF,Buffalo/Niagara Falls,Buffalo Niagara International Airport
BUR,Burbank,Burbank Bob Hope Airport
BWI,Baltimore,Baltimore/Washington International Airport
BZN,Bozeman,Bozeman Yellowstone International Airport
CAE,Columbia,Columbia Metropolitan Airport
CAK,Akron/Canton,Akron-Canton Regional Airport
CDC,Cedar City,Cedar City Regional Airport
CHA,Chattanooga,Chattanooga Metropolitan Airport
CHO,Charlottesville,Charlottesville-Albemarle Airport
CHS,Charleston,Charleston International Airport
CID,Cedar Rapids,The Eastern Iowa Airport
CLE,Cleveland,Cleveland Hopkins International Airport
CLT,Charlotte,Charlotte/Douglas International Airport
CMH,Columbus,John Glenn Columbus International Airport
COD,Cody,Yellowstone Regional Airport
COS,Colorado Springs,Colorado Springs Airport
CPR,Casper,Natrona County International Airport
CRW,Charleston,Yeager Airport
CSG,Columbus,Columbus Airport
CVG,Cincinnati,Cincinnati/Northern Kentucky International Airport
CWA,Wausau,Central Wisconsin Airport
DAY,Dayton,Dayton International Airport
DCA,Washington D.C.,Ronald Reagan Washington National Airport
DEN,Denver,Denver International Airport
DFW,Dallas,Dallas-Fort Worth International Airport
DHN,Dothan,Dothan Regional Airport
DLH,Duluth,Duluth International Airport
DSM,Des Moines,Des Moines International Airport
DTW,Detroit,Detroit Metropolitan Wayne County Airport
EKO,Elko,Elko Regional Airport
ELP,El Paso,El Paso International Airport
ERI,Erie,Erie International Airport
ESC,Escanaba,Delta County Airport
EUG,Eugene,Mahlon Sweet Field
EVV,Evansville,Evansville Regional Airport
EWN,New Bern,Coastal Carolina Regional Airport
EWR,Newark,Newark Liberty International Airport
EYW,Key West,Key West International Airport
FAR,Fargo,Hector International Airport
FAT,Fresno,Fresno Yosemite International Airport
